Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls90;Ast90;G+A90;G-PK90;G+A-PK90
vs Algérie;20;25.9;31.7;3;33;270;3.0;4;1;5;2;2;2;9;0;1.33;0.33;1.67;0.67;1.0
vs Angola;21;26.5;53.8;5;55;450;5.0;4;4;8;4;0;0;11;1;0.8;0.8;1.6;0.8;1.6
vs Burkina Faso;23;26.4;51.8;4;44;360;4.0;5;3;8;5;0;0;8;0;1.25;0.75;2.0;1.25;2.0
vs Cameroun;20;25.7;41.5;4;44;360;4.0;8;7;15;8;0;0;7;1;2.0;1.75;3.75;2.0;3.75
vs Cap Vert;21;27.0;46.0;5;55;480;5.3;3;3;6;3;0;0;6;0;0.56;0.56;1.13;0.56;1.13
vs RD Congo;22;27.0;54.4;7;77;660;7.3;5;3;8;3;2;2;10;1;0.68;0.41;1.09;0.41;0.82
vs Côte d'Ivoire;24;26.3;41.9;7;77;690;7.7;8;4;12;7;1;2;16;1;1.04;0.52;1.57;0.91;1.43
vs Égypte;22;27.4;42.8;4;44;390;4.3;7;5;12;7;0;0;8;0;1.62;1.15;2.77;1.62;2.77
vs Guinée Equ.;19;25.7;54.0;4;44;360;4.0;3;3;6;3;0;0;4;0;0.75;0.75;1.5;0.75;1.5
vs Gambie;23;25.9;58.0;3;33;270;3.0;6;6;12;6;0;0;4;0;2.0;2.0;4.0;2.0;4.0
vs Ghana;20;27.8;57.7;3;33;270;3.0;6;3;9;5;1;1;7;0;2.0;1.0;3.0;1.67;2.67
vs Guinée;23;26.4;50.6;5;55;450;5.0;6;3;9;5;1;2;7;1;1.2;0.6;1.8;1.0;1.6
vs Guinée-Bissau;24;25.7;53.7;3;33;270;3.0;6;5;11;6;0;0;7;0;2.0;1.67;3.67;2.0;3.67
vs Mali;23;26.6;41.6;5;55;480;5.3;4;2;6;3;1;2;15;2;0.75;0.37;1.13;0.56;0.94
vs Mauritanie;23;27.2;62.8;4;44;360;4.0;5;0;5;3;2;2;8;0;1.25;0.0;1.25;0.75;0.75
vs Maroc;22;26.8;45.5;4;44;360;4.0;3;2;5;3;0;1;9;1;0.75;0.5;1.25;0.75;1.25
vs Mozambique;21;27.8;49.7;3;33;270;3.0;7;2;9;4;3;3;7;0;2.33;0.67;3.0;1.33;2.0
vs Namibie;21;27.2;56.5;4;44;360;4.0;7;6;13;6;1;1;1;1;1.75;1.5;3.25;1.5;3.0
vs Nigéria;22;26.6;57.0;7;77;660;7.3;4;3;7;3;1;1;10;1;0.55;0.41;0.95;0.41;0.82
vs Sénégal;21;25.4;48.8;4;44;390;4.3;2;1;3;1;1;1;8;1;0.46;0.23;0.69;0.23;0.46
vs Afrique du Sud;21;26.6;48.1;7;77;690;7.7;3;1;4;2;1;2;8;1;0.39;0.13;0.52;0.26;0.39
vs Tanzanie;17;27.0;48.7;3;33;270;3.0;4;3;7;4;0;0;7;1;1.33;1.0;2.33;1.33;2.33
vs Tunisie;19;27.1;48.3;3;33;270;3.0;2;2;4;2;0;0;0;0;0.67;0.67;1.33;0.67;1.33
vs Zambie;18;27.2;56.3;3;33;270;3.0;3;2;5;3;0;0;2;0;1.0;0.67;1.67;1.0;1.67
